Semestre,Modulo,Turno,Seccion,IdDocente,Asistencia
2010 - II,Mod - I,Noche,A,85,Tarde
2010 - II,Mod - I,Noche,A,39,Tarde
2010 - II,Mod - I,Noche,A,43,Tarde
2010 - I,Mod - IV,Mañana,A,54,Falto
2010 - II,Mod - I,Mañana,A,85,Falto
2010 - II,Mod - II,Mañana,A,39,Falto
2010 - II,Mod - III,Mañana,A,59,Falto
2010 - II,Mod - III,Mañana,A,54,Tarde
2010 - II,Mod - II,Mañana,A,8,Puntual
2010 - II,Mod - II,Mañana,D,40,Tarde
2010 - II,Mod - I,Mañana,C,44,Tarde
2010 - I,Mod - IV,Mañana,A,2,Puntual
2010 - II,Mod - I,Mañana,A,56,Tarde
2010 - I,Mod - V,Mañana,A,42,Falto
2010 - II,Mod - I,Mañana,A,3,Puntual
2010 - I,Mod - IV,Mañana,A,45,Tarde
2010 - I,Mod - V,Mañana,A,42,Falto
2010 - I,Mod - IV,Mañana,C,26,Tarde
2010 - II,Mod - I,Mañana,C,58,Puntual
2010 - II,Mod - II,Mañana,D,8,Tarde
2010 - II,Mod - II,Mañana,A,47,Tarde
2010 - II,Mod - III,Mañana,A,36,Tarde
2010 - II,Mod - III,Mañana,C,59,Tarde
2010 - II,Mod - II,Mañana,C,58,Tarde
2010 - II,Mod - II,Mañana,D,47,Tarde
2010 - II,Mod - I,Mañana,C,2,Tarde
2010 - I,Mod - IV,Mañana,C,11,Puntual
2010 - I,Mod - V,Mañana,A,53,Tarde
2010 - II,Mod - I,Tarde,A,27,Tarde
2010 - II,Mod - II,Tarde,A,2,Tarde
2010 - II,Mod - II,Tarde,A,40,Puntual
2010 - II,Mod - I,Tarde,A,56,Tarde
2010 - II,Mod - I,Tarde,A,40,Tarde
2010 - II,Mod - II,Tarde,A,36,Tarde
2010 - I,Mod - VI,Tarde,A,54,Tarde
2010 - I,Mod - VI,Tarde,A,54,Tarde
2010 - II,Mod - I,Noche,A,85,Tarde
2010 - I,Mod - VI,Noche,A,50,Puntual
2010 - I,Mod - VI,Noche,A,50,Tarde
2010 - II,Mod - I,Noche,A,20,Tarde
2010 - I,Mod - VI,Noche,A,50,Tarde
2010 - II,Mod - I,Noche,A,2,Tarde
2010 - I,Mod - VI,Noche,A,50,Tarde
2010 - I,Mod - IV,Mañana,A,54,Puntual
2010 - II,Mod - I,Mañana,A,58,Puntual
2010 - II,Mod - II,Mañana,A,2,Puntual
2010 - II,Mod - III,Mañana,A,45,Tarde
2010 - II,Mod - III,Mañana,C,26,Tarde
2010 - II,Mod - II,Mañana,A,58,Tarde
2010 - II,Mod - II,Mañana,D,33,Tarde
2010 - II,Mod - III,Mañana,A,59,Puntual
2010 - II,Mod - I,Mañana,C,55,Puntual
2010 - II,Mod - I,Mañana,A,3,Puntual
2010 - I,Mod - IV,Mañana,A,37,Reemplazo
2010 - I,Mod - V,Mañana,A,18,Puntual
2010 - I,Mod - V,Mañana,A,26,Tarde
2010 - I,Mod - IV,Mañana,A,2,Tarde
2010 - II,Mod - I,Mañana,A,20,Tarde
2010 - II,Mod - III,Mañana,A,3,Tarde
2010 - II,Mod - II,Mañana,C,8,Tarde
2010 - II,Mod - II,Mañana,D,52,Falto
2010 - II,Mod - II,Mañana,A,55,Tarde
2010 - II,Mod - I,Mañana,C,47,Tarde
2010 - II,Mod - II,Mañana,C,55,Puntual
2010 - II,Mod - II,Mañana,D,40,Tarde
2010 - II,Mod - I,Mañana,C,2,Tarde
2010 - I,Mod - IV,Mañana,C,45,Tarde
2010 - I,Mod - V,Mañana,A,37,Tarde
2010 - II,Mod - III,Mañana,C,59,Tarde
2010 - II,Mod - II,Tarde,A,55,Tarde
2010 - II,Mod - I,Tarde,A,27,Tarde
2010 - II,Mod - I,Tarde,A,44,Puntual
2010 - II,Mod - II,Tarde,A,40,Tarde
2010 - II,Mod - II,Tarde,A,54,Tarde
2010 - II,Mod - I,Tarde,A,85,Tarde
2010 - I,Mod - VI,Tarde,A,50,Puntual
2010 - I,Mod - VI,Tarde,A,50,Tarde
2010 - II,Mod - I,Noche,A,2,Puntual
2010 - I,Mod - VI,Noche,A,33,Tarde
2010 - I,Mod - VI,Noche,A,33,Tarde
2010 - II,Mod - I,Noche,A,39,Puntual
2010 - I,Mod - VI,Noche,A,33,Tarde
2010 - II,Mod - I,Noche,A,43,Tarde
2010 - I,Mod - VI,Noche,A,33,Tarde
2010 - I,Mod - IV,Mañana,A,54,Falto
2010 - II,Mod - I,Mañana,A,85,Falto
2010 - II,Mod - II,Mañana,A,39,Falto
2010 - II,Mod - III,Mañana,A,59,Falto
2010 - II,Mod - III,Mañana,A,59,Tarde
2010 - II,Mod - II,Mañana,D,40,Tarde
2010 - II,Mod - I,Mañana,C,44,Tarde
2010 - II,Mod - II,Mañana,A,8,Tarde
2010 - II,Mod - I,Mañana,A,56,Falto
2010 - I,Mod - IV,Mañana,A,54,Tarde
2010 - I,Mod - V,Mañana,A,42,Puntual
2010 - I,Mod - V,Mañana,A,42,Tarde
2010 - I,Mod - IV,Mañana,A,26,Tarde
2010 - II,Mod - I,Mañana,A,3,Puntual
2010 - II,Mod - I,Mañana,C,55,Puntual
2010 - II,Mod - II,Mañana,A,47,Puntual
2010 - II,Mod - II,Mañana,D,52,Falto
2010 - II,Mod - III,Mañana,A,36,Tarde
2010 - II,Mod - III,Mañana,C,59,Tarde
2010 - II,Mod - II,Mañana,D,47,Tarde
2010 - II,Mod - II,Mañana,C,58,Tarde
2010 - II,Mod - I,Mañana,C,2,Reemplazo
2010 - I,Mod - IV,Mañana,C,11,Reemplazo
2010 - I,Mod - V,Mañana,A,18,Puntual
2010 - II,Mod - II,Tarde,A,2,Puntual
2010 - II,Mod - I,Tarde,A,56,Tarde
2010 - II,Mod - I,Tarde,A,56,Tarde
2010 - II,Mod - II,Tarde,A,40,Tarde
2010 - II,Mod - II,Tarde,A,36,Tarde
2010 - II,Mod - I,Tarde,A,40,Tarde
2010 - I,Mod - VI,Tarde,A,54,Puntual
2010 - I,Mod - VI,Tarde,A,54,Tarde
2010 - II,Mod - I,Noche,A,85,Tarde
2010 - II,Mod - I,Noche,A,20,Tarde
2010 - I,Mod - VI,Tarde,A,54,Tarde
2010 - I,Mod - VI,Noche,A,50,Tarde
2010 - I,Mod - VI,Noche,A,50,Tarde
2010 - I,Mod - VI,Tarde,A,54,Tarde
2010 - I,Mod - VI,Noche,A,50,Tarde
2010 - II,Mod - I,Noche,A,43,Tarde
2010 - I,Mod - VI,Noche,A,50,Tarde
2010 - I,Mod - IV,Mañana,A,26,Tarde
2010 - II,Mod - I,Mañana,A,58,Puntual
2010 - II,Mod - II,Mañana,A,2,Puntual
2010 - II,Mod - III,Mañana,A,54,Puntual
2010 - II,Mod - III,Mañana,A,59,Puntual
2010 - II,Mod - III,Mañana,C,26,Tarde
2010 - II,Mod - II,Mañana,A,58,Tarde
2010 - II,Mod - II,Mañana,D,33,Tarde
2010 - II,Mod - I,Mañana,C,55,Puntual
2010 - I,Mod - IV,Mañana,A,37,Tarde
2010 - I,Mod - V,Mañana,A,18,Falto
2010 - II,Mod - I,Mañana,A,3,Puntual
2010 - II,Mod - I,Mañana,A,56,Tarde
2010 - I,Mod - IV,Mañana,A,45,Puntual
2010 - I,Mod - IV,Mañana,C,26,Tarde
2010 - I,Mod - V,Mañana,A,37,Tarde
2010 - II,Mod - I,Mañana,C,47,Tarde
2010 - II,Mod - II,Mañana,D,40,Tarde
2010 - II,Mod - II,Mañana,A,55,Tarde
2010 - II,Mod - II,Mañana,C,8,Puntual
2010 - II,Mod - III,Mañana,A,3,Tarde
2010 - II,Mod - III,Mañana,C,59,Tarde
2010 - II,Mod - II,Mañana,C,55,Tarde
2010 - II,Mod - II,Mañana,D,40,Tarde
2010 - II,Mod - I,Mañana,C,2,Tarde
2010 - I,Mod - IV,Mañana,C,45,Tarde
2010 - I,Mod - V,Mañana,A,26,Tarde
2010 - II,Mod - I,Tarde,A,27,Tarde
2010 - II,Mod - II,Tarde,A,55,Tarde
2010 - II,Mod - III,Tarde,A,24,Puntual
2010 - II,Mod - III,Tarde,A,24,Tarde
2010 - II,Mod - II,Tarde,A,40,Tarde
2010 - II,Mod - I,Tarde,A,44,Tarde
2010 - II,Mod - I,Tarde,A,85,Tarde
2010 - II,Mod - II,Tarde,A,54,Falto
2010 - I,Mod - VI,Tarde,A,50,Tarde
2010 - I,Mod - VI,Tarde,A,50,Tarde
2010 - II,Mod - I,Noche,A,2,Puntual
2010 - I,Mod - VI,Tarde,A,50,Tarde
2010 - I,Mod - VI,Noche,A,33,Puntual
2010 - I,Mod - VI,Noche,A,33,Tarde
2010 - I,Mod - VI,Tarde,A,50,Tarde
2010 - II,Mod - I,Noche,A,2,Tarde
2010 - II,Mod - III,Noche,A,11,Tarde
2010 - I,Mod - VI,Noche,A,33,Tarde
2010 - II,Mod - I,Noche,A,43,Tarde
2010 - II,Mod - III,Noche,A,24,Falto
2010 - I,Mod - VI,Noche,A,33,Tarde
2010 - I,Mod - IV,Mañana,A,54,Puntual
2010 - II,Mod - I,Mañana,A,85,Puntual
2010 - II,Mod - II,Mañana,A,39,Puntual
2010 - II,Mod - III,Mañana,A,45,Tarde
2010 - II,Mod - III,Mañana,A,54,Tarde
2010 - II,Mod - II,Mañana,C,58,Puntual
2010 - II,Mod - II,Mañana,D,52,Tarde
2010 - II,Mod - I,Mañana,C,47,Puntual
2010 - II,Mod - II,Mañana,A,8,Puntual
2010 - II,Mod - I,Mañana,A,20,Tarde
2010 - I,Mod - IV,Mañana,A,2,Puntual
2010 - I,Mod - V,Mañana,A,42,Puntual
2010 - I,Mod - IV,Mañana,C,11,Tarde
2010 - I,Mod - IV,Mañana,A,26,Tarde
2010 - I,Mod - V,Mañana,A,42,Tarde
2010 - II,Mod - II,Mañana,A,47,Tarde
2010 - II,Mod - I,Mañana,C,58,Tarde
2010 - II,Mod - II,Mañana,D,8,Tarde
2010 - II,Mod - I,Mañana,A,56,Tarde
2010 - II,Mod - III,Mañana,A,36,Tarde
2010 - II,Mod - III,Mañana,C,54,Puntual
2010 - II,Mod - II,Mañana,D,47,Falto
2010 - II,Mod - II,Mañana,C,8,Tarde
2010 - II,Mod - I,Mañana,C,55,Tarde
2010 - I,Mod - IV,Mañana,C,11,Tarde
2010 - I,Mod - V,Mañana,A,26,Tarde
2010 - II,Mod - II,Tarde,A,54,Tarde
2010 - II,Mod - I,Tarde,A,27,Tarde
2010 - II,Mod - III,Tarde,A,8,Tarde
2010 - II,Mod - III,Tarde,A,8,Tarde
2010 - II,Mod - I,Tarde,A,56,Tarde
2010 - II,Mod - II,Tarde,A,40,Tarde
2010 - II,Mod - II,Tarde,A,36,Tarde
2010 - II,Mod - I,Tarde,A,85,Tarde
2010 - I,Mod - VI,Tarde,A,50,Tarde
2010 - II,Mod - III,Tarde,A,52,Falto
2010 - I,Mod - VI,Tarde,A,50,Tarde
2010 - II,Mod - I,Noche,A,85,Tarde
2010 - II,Mod - III,Noche,A,33,Tarde
2010 - I,Mod - VI,Tarde,A,50,Tarde
2010 - I,Mod - VI,Noche,A,26,Tarde
2010 - I,Mod - VI,Noche,A,26,Tarde
2010 - I,Mod - VI,Tarde,A,50,Tarde
2010 - II,Mod - I,Noche,A,39,Tarde
2010 - II,Mod - III,Noche,A,47,Puntual
2010 - I,Mod - VI,Noche,A,26,Tarde
2010 - II,Mod - I,Noche,A,43,Tarde
2010 - II,Mod - III,Noche,A,24,Falto
2010 - I,Mod - VI,Noche,A,26,Tarde
2010 - I,Mod - IV,Mañana,A,54,Puntual
2010 - II,Mod - I,Mañana,A,85,Puntual
2010 - II,Mod - II,Mañana,A,39,Puntual
2010 - II,Mod - III,Mañana,A,59,Puntual
2010 - II,Mod - III,Mañana,A,54,Tarde
2010 - II,Mod - II,Mañana,A,8,Puntual
2010 - II,Mod - II,Mañana,D,40,Tarde
2010 - II,Mod - I,Mañana,C,44,Tarde
2010 - I,Mod - IV,Mañana,A,2,Puntual
2010 - I,Mod - V,Mañana,A,42,Puntual
2010 - II,Mod - I,Mañana,A,56,Puntual
2010 - II,Mod - I,Mañana,A,3,Puntual
2010 - I,Mod - IV,Mañana,A,45,Tarde
2010 - I,Mod - V,Mañana,A,42,Tarde
2010 - I,Mod - IV,Mañana,C,26,Tarde
2010 - II,Mod - I,Mañana,C,58,Falto
2010 - II,Mod - II,Mañana,D,8,Tarde
2010 - II,Mod - II,Mañana,A,47,Puntual
2010 - II,Mod - III,Mañana,A,36,Tarde
2010 - II,Mod - III,Mañana,C,59,Tarde
2010 - II,Mod - II,Mañana,C,58,Puntual
2010 - II,Mod - II,Mañana,D,47,Tarde
2010 - II,Mod - I,Mañana,C,2,Tarde
2010 - I,Mod - IV,Mañana,C,11,Tarde
2010 - II,Mod - I,Tarde,A,27,Puntual
2010 - II,Mod - II,Tarde,A,2,Tarde
2010 - II,Mod - III,Tarde,A,45,Tarde
2010 - II,Mod - II,Tarde,A,40,Puntual
2010 - II,Mod - III,Tarde,A,24,Tarde
2010 - II,Mod - I,Tarde,A,56,Tarde
2010 - II,Mod - I,Tarde,A,40,Tarde
2010 - II,Mod - II,Tarde,A,36,Tarde
2010 - I,Mod - VI,Tarde,A,54,Puntual
2010 - II,Mod - III,Tarde,A,53,Puntual
2010 - I,Mod - VI,Tarde,A,54,Tarde
2010 - II,Mod - I,Noche,A,85,Tarde
2010 - II,Mod - III,Noche,A,24,Falto
2010 - I,Mod - VI,Tarde,A,54,Tarde
2010 - I,Mod - VI,Noche,A,50,Tarde
2010 - I,Mod - VI,Noche,A,50,Tarde
2010 - I,Mod - VI,Tarde,A,54,Tarde
2010 - II,Mod - I,Noche,A,20,Tarde
2010 - II,Mod - III,Noche,A,53,Reemplazo
2010 - I,Mod - VI,Noche,A,50,Tarde
2010 - II,Mod - I,Noche,A,2,Puntual
2010 - II,Mod - III,Noche,A,47,Tarde
2010 - I,Mod - VI,Noche,A,50,Tarde
2010 - I,Mod - IV,Mañana,A,54,Puntual
2010 - II,Mod - I,Mañana,A,58,Puntual
2010 - II,Mod - II,Mañana,A,2,Puntual
2010 - II,Mod - III,Mañana,A,45,Puntual
2010 - II,Mod - III,Mañana,C,26,Tarde
2010 - II,Mod - II,Mañana,A,58,Tarde
2010 - II,Mod - II,Mañana,D,33,Tarde
2010 - II,Mod - III,Mañana,A,59,Puntual
2010 - II,Mod - I,Mañana,C,55,Puntual
2010 - II,Mod - I,Mañana,A,3,Puntual
2010 - I,Mod - IV,Mañana,A,37,Puntual
2010 - I,Mod - V,Mañana,A,18,Puntual
2010 - I,Mod - V,Mañana,A,26,Tarde
2010 - I,Mod - IV,Mañana,A,2,Tarde
2010 - II,Mod - I,Mañana,A,20,Tarde
2010 - II,Mod - III,Mañana,A,3,Tarde
2010 - II,Mod - II,Mañana,C,8,Tarde
2010 - II,Mod - II,Mañana,D,52,Tarde
2010 - II,Mod - II,Mañana,A,55,Tarde
2010 - II,Mod - I,Mañana,C,47,Tarde
2010 - II,Mod - II,Mañana,C,55,Tarde
2010 - II,Mod - II,Mañana,D,40,Tarde
2010 - II,Mod - I,Mañana,C,2,Tarde
2010 - I,Mod - IV,Mañana,C,45,Tarde
2010 - I,Mod - V,Mañana,A,37,Puntual
2010 - II,Mod - III,Mañana,C,59,Puntual
2010 - II,Mod - III,Tarde,A,24,Tarde
2010 - II,Mod - II,Tarde,A,55,Tarde
2010 - II,Mod - I,Tarde,A,27,Tarde
2010 - II,Mod - I,Tarde,A,44,Tarde
2010 - II,Mod - II,Tarde,A,40,Tarde
2010 - II,Mod - III,Tarde,A,24,Tarde
2010 - II,Mod - III,Tarde,A,52,Tarde
2010 - II,Mod - II,Tarde,A,54,Puntual
2010 - II,Mod - I,Tarde,A,85,Tarde
2010 - I,Mod - VI,Tarde,A,50,Puntual
2010 - I,Mod - VI,Tarde,A,50,Tarde
2010 - II,Mod - I,Noche,A,2,Puntual
2010 - II,Mod - III,Noche,A,11,Tarde
2010 - I,Mod - VI,Tarde,A,50,Tarde
2010 - I,Mod - VI,Noche,A,33,Puntual
2010 - I,Mod - VI,Noche,A,33,Tarde
2010 - I,Mod - VI,Tarde,A,50,Tarde
2010 - II,Mod - I,Noche,A,39,Tarde
2010 - II,Mod - III,Noche,A,24,Puntual
2010 - I,Mod - VI,Noche,A,33,Tarde
2010 - II,Mod - I,Noche,A,43,Tarde
2010 - II,Mod - III,Noche,A,24,Tarde
2010 - I,Mod - VI,Noche,A,33,Tarde
2010 - I,Mod - IV,Mañana,A,54,Puntual
2010 - II,Mod - I,Mañana,A,85,Puntual
2010 - II,Mod - II,Mañana,A,39,Puntual
2010 - II,Mod - III,Mañana,A,59,Puntual
2010 - II,Mod - III,Mañana,A,59,Tarde
2010 - II,Mod - II,Mañana,D,40,Tarde
2010 - II,Mod - I,Mañana,C,44,Tarde
2010 - II,Mod - II,Mañana,A,8,Tarde
2010 - II,Mod - I,Mañana,A,56,Tarde
2010 - I,Mod - IV,Mañana,A,54,Tarde
2010 - I,Mod - V,Mañana,A,42,Puntual
2010 - I,Mod - V,Mañana,A,42,Tarde
2010 - I,Mod - IV,Mañana,A,26,Tarde
2010 - II,Mod - I,Mañana,A,3,Tarde
2010 - II,Mod - I,Mañana,C,55,Tarde
2010 - II,Mod - II,Mañana,A,47,Tarde
2010 - II,Mod - II,Mañana,D,52,Tarde
2010 - II,Mod - III,Mañana,A,36,Tarde
2010 - II,Mod - III,Mañana,C,59,Puntual
2010 - II,Mod - II,Mañana,D,47,Tarde
2010 - II,Mod - II,Mañana,C,58,Tarde
2010 - II,Mod - I,Mañana,C,2,Puntual
2010 - I,Mod - IV,Mañana,C,11,Puntual
2010 - I,Mod - V,Mañana,A,18,Puntual
2010 - II,Mod - II,Tarde,A,2,Tarde
2010 - II,Mod - I,Tarde,A,56,Falto
2010 - II,Mod - III,Tarde,A,45,Puntual
2010 - II,Mod - III,Tarde,A,8,Falto
2010 - II,Mod - I,Tarde,A,56,Falto
2010 - II,Mod - II,Tarde,A,40,Tarde
2010 - II,Mod - II,Tarde,A,36,Tarde
2010 - II,Mod - I,Tarde,A,40,Tarde
2010 - I,Mod - VI,Tarde,A,54,Falto
2010 - II,Mod - III,Tarde,A,52,Falto
2010 - I,Mod - VI,Tarde,A,54,Falto
2010 - II,Mod - I,Noche,A,20,Falto
2010 - II,Mod - III,Noche,A,33,Falto
2010 - I,Mod - VI,Tarde,A,54,Falto
2010 - I,Mod - VI,Noche,A,50,Falto
2010 - I,Mod - VI,Noche,A,50,Falto
2010 - I,Mod - VI,Tarde,A,54,Falto
2010 - II,Mod - I,Noche,A,85,Falto
2010 - II,Mod - III,Noche,A,33,Falto
2010 - I,Mod - VI,Noche,A,50,Falto
2010 - II,Mod - I,Noche,A,43,Falto
2010 - II,Mod - III,Noche,A,47,Falto
2010 - I,Mod - VI,Noche,A,50,Falto
2010 - I,Mod - IV,Mañana,A,26,Falto
2010 - II,Mod - I,Mañana,A,58,Falto
2010 - II,Mod - II,Mañana,A,2,Falto
2010 - II,Mod - III,Mañana,A,54,Falto
2010 - II,Mod - III,Mañana,A,59,Falto
2010 - II,Mod - III,Mañana,C,26,Falto
2010 - II,Mod - II,Mañana,A,58,Falto
2010 - II,Mod - II,Mañana,D,33,Falto
2010 - II,Mod - I,Mañana,C,55,Falto
2010 - I,Mod - IV,Mañana,A,37,Falto
2010 - I,Mod - V,Mañana,A,18,Falto
2010 - II,Mod - I,Mañana,A,3,Falto
2010 - II,Mod - I,Mañana,A,56,Falto
2010 - I,Mod - IV,Mañana,A,45,Falto
2010 - I,Mod - IV,Mañana,C,26,Falto
2010 - I,Mod - V,Mañana,A,37,Falto
2010 - II,Mod - I,Mañana,C,47,Falto
2010 - II,Mod - II,Mañana,D,40,Falto
2010 - II,Mod - II,Mañana,A,55,Falto
2010 - II,Mod - II,Mañana,C,8,Falto
2010 - II,Mod - III,Mañana,A,3,Falto
2010 - II,Mod - III,Mañana,C,59,Falto
2010 - II,Mod - II,Mañana,C,55,Falto
2010 - II,Mod - II,Mañana,D,40,Falto
2010 - II,Mod - I,Mañana,C,2,Falto
2010 - I,Mod - IV,Mañana,C,45,Falto
2010 - I,Mod - V,Mañana,A,26,Falto
2010 - II,Mod - I,Tarde,A,27,Falto
2010 - II,Mod - II,Tarde,A,55,Puntual
2010 - II,Mod - III,Tarde,A,24,Falto
2010 - II,Mod - III,Tarde,A,24,Tarde
2010 - II,Mod - II,Tarde,A,40,Tarde
2010 - II,Mod - I,Tarde,A,44,Tarde
2010 - II,Mod - I,Tarde,A,85,Falto
2010 - II,Mod - II,Tarde,A,54,Tarde
2010 - I,Mod - VI,Tarde,A,50,Tarde
2010 - II,Mod - III,Tarde,A,52,Falto
2010 - I,Mod - VI,Tarde,A,50,Tarde
2010 - II,Mod - I,Noche,A,2,Puntual
2010 - II,Mod - III,Noche,A,11,Tarde
2010 - I,Mod - VI,Tarde,A,50,Tarde
2010 - I,Mod - VI,Noche,A,33,Tarde
2010 - I,Mod - VI,Noche,A,33,Tarde
2010 - I,Mod - VI,Tarde,A,50,Tarde
2010 - II,Mod - I,Noche,A,2,Tarde
2010 - II,Mod - III,Noche,A,24,Falto
2010 - I,Mod - VI,Noche,A,33,Tarde
2010 - II,Mod - I,Noche,A,43,Tarde
2010 - II,Mod - III,Noche,A,24,Falto
2010 - I,Mod - VI,Noche,A,33,Tarde
2010 - I,Mod - IV,Mañana,A,54,Falto
2010 - II,Mod - I,Mañana,A,85,Tarde
2010 - II,Mod - II,Mañana,A,39,Puntual
2010 - II,Mod - III,Mañana,A,45,Tarde
2010 - II,Mod - III,Mañana,A,54,Tarde
2010 - II,Mod - II,Mañana,C,58,Puntual
2010 - II,Mod - II,Mañana,D,52,Puntual
2010 - II,Mod - I,Mañana,C,47,Puntual
2010 - II,Mod - II,Mañana,A,8,Tarde
2010 - II,Mod - I,Mañana,A,20,Tarde
2010 - I,Mod - IV,Mañana,A,2,Falto
2010 - I,Mod - V,Mañana,A,42,Puntual
2010 - I,Mod - IV,Mañana,C,11,Puntual
2010 - I,Mod - IV,Mañana,A,26,Tarde
2010 - I,Mod - V,Mañana,A,42,Tarde
2010 - II,Mod - II,Mañana,A,47,Tarde
2010 - II,Mod - I,Mañana,C,58,Tarde
2010 - II,Mod - II,Mañana,D,8,Tarde
2010 - II,Mod - I,Mañana,A,56,Tarde
2010 - II,Mod - III,Mañana,A,36,Tarde
2010 - II,Mod - III,Mañana,C,54,Tarde
2010 - II,Mod - II,Mañana,D,47,Tarde
2010 - II,Mod - II,Mañana,C,8,Tarde
2010 - II,Mod - I,Mañana,C,55,Tarde
2010 - I,Mod - IV,Mañana,C,11,Tarde
2010 - I,Mod - V,Mañana,A,26,Tarde
2010 - II,Mod - II,Tarde,A,54,Tarde
2010 - II,Mod - I,Tarde,A,27,Tarde
2010 - II,Mod - III,Tarde,A,8,Tarde
2010 - II,Mod - III,Tarde,A,8,Tarde
2010 - II,Mod - I,Tarde,A,56,Puntual
2010 - II,Mod - II,Tarde,A,40,Tarde
2010 - II,Mod - II,Tarde,A,36,Tarde
2010 - II,Mod - I,Tarde,A,85,Tarde
2010 - I,Mod - VI,Tarde,A,50,Tarde
2010 - II,Mod - III,Tarde,A,53,Tarde
2010 - I,Mod - VI,Tarde,A,50,Tarde
2010 - II,Mod - I,Noche,A,85,Tarde
2010 - II,Mod - III,Noche,A,33,Tarde
2010 - I,Mod - VI,Tarde,A,50,Tarde
2010 - I,Mod - VI,Noche,A,26,Tarde
2010 - I,Mod - VI,Noche,A,26,Tarde
2010 - I,Mod - VI,Tarde,A,50,Tarde
2010 - II,Mod - I,Noche,A,39,Puntual
2010 - II,Mod - III,Noche,A,47,Puntual
2010 - I,Mod - VI,Noche,A,26,Tarde
2010 - II,Mod - I,Noche,A,43,Tarde
2010 - II,Mod - III,Noche,A,53,Tarde
2010 - I,Mod - VI,Noche,A,26,Tarde
2010 - I,Mod - IV,Mañana,A,54,Puntual
2010 - II,Mod - I,Mañana,A,85,Puntual
2010 - II,Mod - II,Mañana,A,39,Puntual
2010 - II,Mod - III,Mañana,A,59,Puntual
2010 - II,Mod - III,Mañana,A,54,Tarde
2010 - II,Mod - II,Mañana,A,8,Tarde
2010 - II,Mod - II,Mañana,D,40,Tarde
2010 - II,Mod - I,Mañana,C,44,Tarde
2010 - I,Mod - IV,Mañana,A,2,Puntual
2010 - I,Mod - V,Mañana,A,42,Puntual
2010 - II,Mod - I,Mañana,A,56,Tarde
2010 - II,Mod - I,Mañana,A,3,Puntual
2010 - I,Mod - IV,Mañana,A,45,Tarde
2010 - I,Mod - V,Mañana,A,42,Tarde
2010 - I,Mod - IV,Mañana,C,26,Tarde
2010 - II,Mod - I,Mañana,C,58,Puntual
2010 - II,Mod - II,Mañana,D,8,Tarde
2010 - II,Mod - II,Mañana,A,47,Puntual
2010 - II,Mod - III,Mañana,A,36,Tarde
2010 - II,Mod - III,Mañana,C,59,Tarde
2010 - II,Mod - II,Mañana,C,58,Tarde
2010 - II,Mod - II,Mañana,D,47,Tarde
2010 - II,Mod - I,Mañana,C,2,Tarde
2010 - I,Mod - IV,Mañana,C,11,Falto
2010 - I,Mod - V,Mañana,A,53,Tarde
2010 - II,Mod - I,Tarde,A,27,Tarde
2010 - II,Mod - II,Tarde,A,2,Tarde
2010 - II,Mod - III,Tarde,A,45,Tarde
2010 - II,Mod - II,Tarde,A,40,Tarde
2010 - II,Mod - III,Tarde,A,24,Puntual
2010 - II,Mod - I,Tarde,A,56,Tarde
2010 - II,Mod - I,Tarde,A,40,Tarde
2010 - II,Mod - II,Tarde,A,36,Tarde
2010 - I,Mod - VI,Tarde,A,8,Tarde
2010 - II,Mod - III,Tarde,A,53,Tarde
2010 - I,Mod - VI,Tarde,A,8,Tarde
2010 - II,Mod - I,Noche,A,85,Tarde
2010 - II,Mod - III,Noche,A,24,Tarde
2010 - I,Mod - VI,Tarde,A,8,Tarde
2010 - I,Mod - VI,Noche,A,50,Tarde
2010 - I,Mod - VI,Noche,A,50,Tarde
2010 - I,Mod - VI,Tarde,A,8,Tarde
2010 - II,Mod - I,Noche,A,20,Tarde
2010 - II,Mod - III,Noche,A,53,Puntual
2010 - I,Mod - VI,Noche,A,50,Tarde
2010 - II,Mod - I,Noche,A,2,Reemplazo
2010 - II,Mod - III,Noche,A,47,Puntual
2010 - I,Mod - VI,Noche,A,50,Tarde
2010 - I,Mod - IV,Mañana,A,54,Puntual
2010 - II,Mod - I,Mañana,A,58,Puntual
2010 - II,Mod - II,Mañana,A,2,Puntual
2010 - II,Mod - III,Mañana,A,45,Tarde
2010 - II,Mod - III,Mañana,C,26,Tarde
2010 - II,Mod - II,Mañana,A,58,Tarde
2010 - II,Mod - II,Mañana,D,33,Tarde
2010 - II,Mod - III,Mañana,A,59,Puntual
2010 - II,Mod - I,Mañana,C,55,Tarde
2010 - II,Mod - I,Mañana,A,3,Puntual
2010 - I,Mod - IV,Mañana,A,37,Tarde
2010 - I,Mod - V,Mañana,A,18,Falto
2010 - I,Mod - V,Mañana,A,26,Tarde
2010 - I,Mod - IV,Mañana,A,2,Tarde
2010 - II,Mod - I,Mañana,A,20,Tarde
2010 - II,Mod - III,Mañana,A,3,Tarde
2010 - II,Mod - II,Mañana,C,8,Tarde
2010 - II,Mod - II,Mañana,D,52,Tarde
2010 - II,Mod - II,Mañana,A,55,Tarde
2010 - II,Mod - I,Mañana,C,47,Puntual
2010 - II,Mod - II,Mañana,C,55,Tarde
2010 - II,Mod - II,Mañana,D,40,Tarde
2010 - II,Mod - I,Mañana,C,2,Tarde
2010 - I,Mod - IV,Mañana,C,45,Tarde
2010 - I,Mod - V,Mañana,A,37,Tarde
2010 - II,Mod - III,Mañana,C,59,Tarde
